URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# Taxon astragali,,,,,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-HrVLN3Z/1/0fd68f58/X4/Andrena%20astragali%2Cfemale%2Clateral%2CDC15May22-X4.jpg,,,100%,image-web,,Lateral view,A. astragali,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-Q85pfwk/1/7fe55b75/X4/Andrena%20astragali%2Cfemale%2Cdorsal%2CDC15May22-X4.jpg,,,100%,image-web,,Dorsal view,A. astragali,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-V8qPh9J/2/807a6553/X4/Andrena%20astragali%2Cfemale%2Chead%2C.DC15May-X4.jpg,,,100%,image-web,,Face,A. astragali,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-C8CpgmW/1/61b71e10/X4/Andrena%20astragali%2Cmale%2Clateral%2CDC16Jun22-X4.jpg,,,100%,image-web,,Male,A. astragali,,,,
#,,,100%,image-web,,,,,,,
# Taxon prunorum,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Select-focus-stacked-insects/i-cMdxgNj/0/11c9dd9a/X4/Andrena%20prunorum.IAE%20108774-X4.jpg,,,100%,image-web,,,A. prunorum,,,,
#,,,,,,,,,,,
#,,,100%,image-web,,,,,,,
Taxon nigrihirta,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-C9Mt3N8/1/10fa2854/X4/Andrena%20nigrihirta%2Cfemale%2Clateral%2COSAC_0001245358-X4.jpg,,,100%,image-web,,Lateral view,A. nigrihirta,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-wRpsVLd/1/5650adf0/X4/Andrena%20nigrihirta%2Cfemale%2Cdorsal%2COSAC_0001245358-X4.jpg,,,100%,image-web,,Dorsal view,A. nigrihirta,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-s2knSRh/1/1ba807f3/O/Andrena%20nigrihirta%2Cfemale%2Chead%2COSAC_0001245358.jpg,,,100%,image-web,,Face,A. nigrihirta,,,,
#,,,100%,image-web,,,,,,,
#Taxon orthocarpi,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-NLQSxGn/2/2353a229/X4/Andrena%20orthocarpi%2Cfemale%2Clateral%2COSAC_0001245921-X4.jpg,,,100%,image-web,,Lateral view,A. orthocarpi,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-5VJL39t/1/caad50c6/X4/Andrena%20orthocarpi%2Cfemale%2Cdorsal%2COSAC_0001245921-X4.jpg,,,100%,image-web,,Dorsal view,A. orthocarpi,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-TBGn3SQ/1/d347fa2b/X4/Andrena%20orthocarpi%2Cfemale%2Chead%2COSAC_0001245921-X4.jpg,,,100%,image-web,,Face,A. orthocarpi,,,,
#,,,100%,image-web,,,,,,,
#Taxon nivalis,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-mZCt2Rh/1/9c79b36b/X4/Andrena%20nivalis%2Cfemale%2Clateral%2COSAC_0001245852-X4.jpg,,,100%,image-web,,Lateral view,A. nivalis,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-gwCntRL/2/c5759429/X4/Andrena%20nivalis%2Cfemale%2Cdorsal%2C16May22_1-X4.jpg,,,100%,image-web,,Dorsal view,A. nivalis,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-LkV6dcX/2/0568a065/X4/Andrena%20nivalis%2Cfemale%2Chead%2C16May22_1-X4.jpg,,,100%,image-web,,Face,A. nivalis,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-TzM8H2Z/2/d2885eba/X4/Andrena%20nivalis%2Cfemale%2Chead%2COSAC_0001245852-X4.jpg,,,100%,image-web,,Face,A. nivalis,,,,
#,,,100%,image-web,,,,,,,
#Taxon nubecula,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-57LmHgv/1/7881053d/X4/Andrena%20nebecula%2Cfemale%2Clateral%2COSAC_0001245887-X4.jpg,,,100%,image-web,,Lateral view,A. nubecula,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-3Nd84tJ/1/b96dd882/X4/Andrena%20nebecula%2Cfemale%2Cdorsal.OSAC_0001245887-X4.jpg,,,100%,image-web,,Dorsal view,A. nubecula,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-N2rx93w/1/f170ed00/O/Andrena%20nebecula%2Cfemale%2Chead%2COSAC_0001245887.jpg,,,100%,image-web,,Face,A. nubecula,,,,
#,,,100%,image-web,,,,,,,
#Taxon auricoma,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-12-July/i-GzFNjQN/0/9e5b8bbd/X4/Andrena%20auircoma%2Cfemale%2Clateral%2COSAC_0001237100-X4.jpg,,,100%,image-web,,Lateral view,A. auricoma,,,,
